date,value
2015-11-30,17.5569
2015-12-01,17.508
2015-12-02,17.5353
2015-12-03,17.6658
2015-12-04,18.2499
2015-12-07,18.1229
2015-12-08,18.5495
2015-12-09,18.5713
2015-12-10,18.6731
2015-12-11,18.9987
2015-12-14,19.1214
2015-12-15,18.9649
2015-12-16,18.7228
2015-12-17,18.3649
2015-12-18,18.4429
2015-12-21,18.6067
2015-12-22,18.7405
2015-12-23,18.7712
2015-12-24,18.9109
2015-12-28,18.9347
2015-12-29,18.8429
2015-12-30,18.8867
2015-12-31,18.9145
2016-01-04,18.9353
2016-01-05,18.5798
2016-01-06,18.748
2016-01-07,19.2176
2016-01-08,19.3231
2016-01-11,19.4182
2016-01-12,19.2772
2016-01-13,19.2779
2016-01-14,19.5529
2016-01-15,19.7876
2016-01-18,19.8703
2016-01-19,19.6912
2016-01-20,20.043
2016-01-21,20.212
2016-01-22,20.016
2016-01-25,19.997
2016-01-26,20.126
2016-01-27,20.004
2016-01-28,19.9966
2016-01-29,20.005
2016-02-01,19.8811
2016-02-02,20.026
2016-02-03,20.11
2016-02-04,20.31
2016-02-05,20.399
2016-02-08,20.714
2016-02-09,21.192
2016-02-10,21.065
2016-02-11,21.606
2016-02-12,21.685
2016-02-15,21.091
2016-02-16,21.046
2016-02-17,20.866
2016-02-18,20.211
2016-02-19,20.293
2016-02-22,19.935
2016-02-23,19.8974
2016-02-24,20.082
2016-02-25,20.001
2016-02-26,19.9233
2016-02-29,19.8005
2016-03-01,19.5872
2016-03-02,19.4214
2016-03-03,19.5122
2016-03-04,19.5613
2016-03-07,19.5274
2016-03-08,19.6437
2016-03-09,19.5511
2016-03-10,19.1827
2016-03-11,19.6852
2016-03-14,19.7648
2016-03-15,19.8474
2016-03-16,19.8495
2016-03-17,19.8183
2016-03-18,19.4683
2016-03-21,19.5916
2016-03-22,19.568
2016-03-23,19.4942
2016-03-24,19.7076
2016-03-29,19.5809
2016-03-30,19.5281
2016-03-31,19.5903
2016-04-01,19.8996
2016-04-04,19.7227
2016-04-05,19.9963
2016-04-06,20.148
2016-04-07,20.178
2016-04-08,20.211
2016-04-11,20.192
2016-04-12,20.025
2016-04-13,19.8238
2016-04-14,19.6655
2016-04-15,19.7927
2016-04-18,19.9043
2016-04-19,19.5947
2016-04-20,19.706
2016-04-21,19.6232
2016-04-22,19.6823
2016-04-25,19.8036
2016-04-26,19.7889
2016-04-27,19.6578
2016-04-28,19.6713
2016-04-29,19.557
2016-05-02,19.6826
2016-05-03,20.146
2016-05-04,20.457
2016-05-05,20.216
2016-05-06,20.518
2016-05-09,20.432
2016-05-10,20.623
2016-05-11,20.531
2016-05-12,20.388
2016-05-13,20.483
2016-05-16,20.618
2016-05-17,20.728
2016-05-18,20.788
2016-05-19,20.678
2016-05-20,20.654
2016-05-23,20.602
2016-05-24,20.585
2016-05-25,20.502
2016-05-26,20.514
2016-05-27,20.661
2016-05-30,20.577
2016-05-31,20.518
2016-06-01,20.653
2016-06-02,20.778
2016-06-03,20.88
2016-06-06,21.063
2016-06-07,21.071
2016-06-08,20.682
2016-06-09,20.677
2016-06-10,20.803
2016-06-13,21.067
2016-06-14,21.317
2016-06-15,21.199
2016-06-16,21.184
2016-06-17,21.247
2016-06-20,21.089
2016-06-21,21.004
2016-06-22,21.005
2016-06-23,20.83
2016-06-24,20.881
2016-06-27,20.964
2016-06-28,20.983
2016-06-29,20.733
2016-06-30,20.635
2016-07-01,20.181
2016-07-04,20.424
2016-07-05,20.807
2016-07-06,20.902
2016-07-07,20.727
2016-07-08,20.796
2016-07-11,20.378
2016-07-12,20.287
2016-07-13,20.28
2016-07-14,20.352
2016-07-15,20.442
2016-07-18,20.435
2016-07-19,20.371
2016-07-20,20.368
2016-07-21,20.543
2016-07-22,20.491
2016-07-25,20.406
2016-07-26,20.673
2016-07-27,20.687
2016-07-28,20.872
2016-07-29,21.029
2016-08-01,20.931
2016-08-02,21.105
2016-08-03,21.18
2016-08-04,20.969
2016-08-05,21.028
2016-08-08,20.644
2016-08-09,20.502
2016-08-10,20.492
2016-08-11,20.553
2016-08-12,20.388
2016-08-15,20.277
2016-08-16,20.278
2016-08-17,20.468
2016-08-18,20.554
2016-08-19,20.754
2016-08-22,20.69
2016-08-23,20.685
2016-08-24,20.894
2016-08-25,20.838
2016-08-26,20.72
2016-08-29,20.764
2016-08-30,20.754
2016-08-31,20.942
2016-09-01,20.955
2016-09-02,21.014
2016-09-05,20.649
2016-09-06,20.67
2016-09-07,20.622
2016-09-08,20.714
2016-09-09,21.187
2016-09-12,21.44
2016-09-13,21.38
2016-09-14,21.48
2016-09-15,21.644
2016-09-16,21.766
2016-09-19,21.885
2016-09-20,21.965
2016-09-21,22.006
2016-09-22,22.051
2016-09-23,22.009
2016-09-26,22.36
2016-09-27,21.925
2016-09-28,21.818
2016-09-29,21.796
2016-09-30,21.739
2016-10-03,21.615
2016-10-04,21.583
2016-10-05,21.613
2016-10-06,21.57
2016-10-07,21.56
2016-10-10,21.139
2016-10-11,20.909
2016-10-12,20.856
2016-10-13,20.953
2016-10-14,20.845
2016-10-17,20.82
2016-10-18,20.571
2016-10-19,20.485
2016-10-20,20.381
2016-10-21,20.308
2016-10-24,20.226
2016-10-25,20.102
2016-10-26,20.347
2016-10-27,20.461
2016-10-28,20.558
2016-10-31,20.715
2016-11-01,20.818
2016-11-02,21.495
2016-11-03,21.343
2016-11-04,21.228
2016-11-07,20.639
2016-11-08,20.489
2016-11-09,21.852
2016-11-10,22.037
2016-11-11,22.706
2016-11-14,22.502
2016-11-15,22.033
2016-11-16,21.907
2016-11-17,21.75
2016-11-18,21.697
2016-11-21,21.776
2016-11-22,21.584
2016-11-23,21.834
2016-11-24,21.885
2016-11-25,21.873
2016-11-28,21.757
2016-11-29,21.876
2016-11-30,21.878
2016-12-01,21.934
2016-12-02,22.116
2016-12-05,22.085
2016-12-06,21.871
2016-12-07,21.809
2016-12-08,21.892
2016-12-09,21.582
2016-12-12,21.447
2016-12-13,21.479
2016-12-14,21.567
2016-12-15,21.52
2016-12-16,21.253
2016-12-19,21.288
2016-12-20,21.115
2016-12-21,21.305
2016-12-22,21.609
2016-12-23,21.615
2016-12-27,21.534
2016-12-28,21.57
2016-12-29,21.633
2016-12-30,21.772
2017-01-02,21.706
2017-01-03,21.494
2017-01-04,22.071
2017-01-05,22.345
2017-01-06,22.529
2017-01-09,22.394
2017-01-10,22.64
2017-01-11,22.964
2017-01-12,23.07
2017-01-13,23.086
2017-01-16,22.878
2017-01-17,23.055
2017-01-18,23.134
2017-01-19,23.444
2017-01-20,23.37
2017-01-23,22.944
2017-01-24,22.886
2017-01-25,23.067
2017-01-26,22.476
2017-01-27,22.545
2017-01-30,22.085
2017-01-31,22.286
2017-02-01,22.34
2017-02-02,22.262
2017-02-03,22.016
2017-02-06,21.822
2017-02-07,22.033
2017-02-08,21.91
2017-02-09,21.858
2017-02-10,21.552
2017-02-13,21.626
2017-02-14,21.498
2017-02-15,21.478
2017-02-16,21.598
2017-02-17,21.805
2017-02-20,21.727
2017-02-21,21.528
2017-02-22,21.058
2017-02-23,21.015
2017-02-24,20.893
2017-02-27,20.954
2017-02-28,21.08
2017-03-01,21.11
2017-03-02,20.95
2017-03-03,20.764
2017-03-06,20.686
2017-03-07,20.612
2017-03-08,20.713
2017-03-09,20.877
2017-03-10,20.968
2017-03-13,20.94
2017-03-14,20.847
2017-03-15,20.801
2017-03-16,20.477
2017-03-17,20.571
2017-03-20,20.551
2017-03-21,20.508
2017-03-22,20.69
2017-03-23,20.596
2017-03-24,20.428
2017-03-27,20.492
2017-03-28,20.493
2017-03-29,20.352
2017-03-30,20.123
2017-03-31,20.018
2017-04-03,19.9794
2017-04-04,20.131
2017-04-05,20.018
2017-04-06,20.039
2017-04-07,19.9474
2017-04-10,19.7586
2017-04-11,19.8434
2017-04-12,19.9384
2017-04-13,19.7661
2017-04-18,19.8272
2017-04-19,20.019
2017-04-20,20.198
2017-04-21,20.146
2017-04-24,20.164
2017-04-25,20.52
2017-04-26,20.626
2017-04-27,20.662
2017-04-28,20.75
2017-05-02,20.457
2017-05-03,20.536
2017-05-04,20.739
2017-05-05,20.887
2017-05-08,20.832
2017-05-09,20.877
2017-05-10,20.757
2017-05-11,20.605
2017-05-12,20.552
2017-05-15,20.502
2017-05-16,20.689
2017-05-17,20.754
2017-05-18,21.275
2017-05-19,20.938
