date,value
2015-11-27,0.94518
2015-11-30,0.94527
2015-12-01,0.9434
2015-12-02,0.94233
2015-12-03,0.93712
2015-12-04,0.91726
2015-12-07,0.92515
2015-12-08,0.91954
2015-12-09,0.91399
2015-12-10,0.91383
2015-12-11,0.91324
2015-12-14,0.9105
2015-12-15,0.90992
2015-12-16,0.91466
2015-12-17,0.92242
2015-12-18,0.92285
2015-12-21,0.91996
2015-12-22,0.91308
2015-12-23,0.91609
2015-12-24,0.91349
2015-12-28,0.91224
2015-12-29,0.91308
2015-12-30,0.91525
2015-12-31,0.91853
2016-01-04,0.9176
2016-01-05,0.93058
2016-01-06,0.93093
2016-01-07,0.92013
2016-01-08,0.92073
2016-01-11,0.91844
2016-01-12,0.92285
2016-01-13,0.92456
2016-01-14,0.91802
2016-01-15,0.91625
2016-01-18,0.91811
2016-01-19,0.92013
2016-01-20,0.91684
2016-01-21,0.91802
2016-01-22,0.92524
2016-01-25,0.92464
2016-01-26,0.92276
2016-01-27,0.91844
2016-01-28,0.91718
2016-01-29,0.91575
2016-02-01,0.91878
2016-02-02,0.91583
2016-02-03,0.91466
2016-02-04,0.89238
2016-02-05,0.8927
2016-02-08,0.90082
2016-02-09,0.89
2016-02-10,0.88834
2016-02-11,0.88129
2016-02-12,0.88692
2016-02-15,0.89445
2016-02-16,0.89558
2016-02-17,0.89799
2016-02-18,0.9022
2016-02-19,0.90123
2016-02-22,0.90695
2016-02-23,0.90893
2016-02-24,0.91066
2016-02-25,0.90686
2016-02-26,0.9086
2016-02-29,0.91844
2016-03-01,0.91979
2016-03-02,0.92115
2016-03-03,0.91735
2016-03-04,0.91158
2016-03-07,0.91299
2016-03-08,0.90678
2016-03-09,0.91133
2016-03-10,0.92106
2016-03-11,0.90171
2016-03-14,0.89936
2016-03-15,0.90017
2016-03-16,0.90383
2016-03-17,0.8841
2016-03-18,0.8866
2016-03-21,0.88723
2016-03-22,0.8919
2016-03-23,0.89518
2016-03-24,0.89654
2016-03-29,0.89334
2016-03-30,0.88308
2016-03-31,0.87835
2016-04-01,0.87474
2016-04-04,0.87873
2016-04-05,0.87974
2016-04-06,0.88215
2016-04-07,0.87997
2016-04-08,0.88005
2016-04-11,0.87796
2016-04-12,0.8775
2016-04-13,0.88511
2016-04-14,0.88873
2016-04-15,0.88621
2016-04-18,0.88449
2016-04-19,0.8816
2016-04-20,0.87881
2016-04-21,0.88067
2016-04-22,0.88786
2016-04-25,0.88778
2016-04-26,0.88598
2016-04-27,0.88472
2016-04-28,0.88044
2016-04-29,0.87696
2016-05-02,0.87009
2016-05-03,0.86438
2016-05-04,0.86919
2016-05-05,0.8742
2016-05-06,0.87512
2016-05-09,0.87758
2016-05-10,0.87912
2016-05-11,0.8765
2016-05-12,0.87804
2016-05-13,0.88121
2016-05-16,0.88308
2016-05-17,0.88355
2016-05-18,0.8866
2016-05-19,0.8931
2016-05-20,0.89135
2016-05-23,0.89166
2016-05-24,0.89542
2016-05-25,0.89718
2016-05-26,0.89542
2016-05-27,0.89542
2016-05-30,0.89775
2016-05-31,0.89654
2016-06-01,0.89493
2016-06-02,0.89381
2016-06-03,0.89654
2016-06-06,0.88113
2016-06-07,0.88121
2016-06-08,0.87889
2016-06-09,0.8816
2016-06-10,0.88464
2016-06-13,0.88747
2016-06-14,0.89087
2016-06-15,0.89047
2016-06-16,0.89493
2016-06-17,0.88857
2016-06-20,0.88246
2016-06-21,0.88386
2016-06-22,0.88629
2016-06-23,0.87804
2016-06-24,0.90367
2016-06-27,0.90926
2016-06-28,0.9031
2016-06-29,0.90171
2016-06-30,0.90074
2016-07-01,0.89807
2016-07-04,0.89783
2016-07-05,0.89718
2016-07-06,0.90342
2016-07-07,0.90253
2016-07-08,0.90334
2016-07-11,0.90506
2016-07-12,0.90155
2016-07-13,0.90318
2016-07-14,0.8963
2016-07-15,0.89863
2016-07-18,0.90473
2016-07-19,0.90621
2016-07-20,0.90802
2016-07-21,0.90785
2016-07-22,0.90794
2016-07-25,0.91058
2016-07-26,0.90934
2016-07-27,0.90984
2016-07-28,0.90171
2016-07-29,0.89985
2016-08-01,0.89574
2016-08-02,0.89342
2016-08-03,0.89286
2016-08-04,0.89799
2016-08-05,0.89638
2016-08-08,0.90196
2016-08-09,0.90269
2016-08-10,0.89413
2016-08-11,0.89662
2016-08-12,0.89622
2016-08-15,0.89445
2016-08-16,0.88535
2016-08-17,0.88684
2016-08-18,0.88331
2016-08-19,0.88292
2016-08-22,0.88449
2016-08-23,0.88191
2016-08-24,0.88747
2016-08-25,0.88574
